# Noise_percentage Zero_error_rate One_error_rate Two_error_rate Three_error_rate Four_error_rate Five_error_rate Six_error_rate Seven_error_rate Eight_error_rate Nine_error_rate
57.0 97.0000 100.0000 100.0000 97.0000 99.0000 92.0000 98.0000 98.0000 100.0000 95.0000
58.0 97.0000 100.0000 99.0000 97.0000 99.0000 93.0000 99.0000 98.0000 99.0000 98.0000
59.0 98.0000 98.0000 100.0000 97.0000 98.0000 90.0000 99.0000 99.0000 99.0000 94.0000
60.0 97.0000 100.0000 100.0000 98.0000 100.0000 97.0000 99.0000 100.0000 97.0000 93.0000
61.0 98.0000 100.0000 99.0000 98.0000 99.0000 96.0000 100.0000 100.0000 100.0000 92.0000
62.0 100.0000 100.0000 100.0000 98.0000 99.0000 95.0000 100.0000 100.0000 97.0000 96.0000
63.0 100.0000 100.0000 100.0000 100.0000 98.0000 95.0000 100.0000 100.0000 99.0000 95.0000
64.0 99.0000 100.0000 100.0000 98.0000 98.0000 97.0000 100.0000 100.0000 100.0000 96.0000
65.0 100.0000 100.0000 100.0000 99.0000 100.0000 100.0000 100.0000 99.0000 99.0000 98.0000
66.0 100.0000 100.0000 100.0000 99.0000 100.0000 99.0000 100.0000 100.0000 100.0000 96.0000
67.0 100.0000 100.0000 100.0000 100.0000 100.0000 96.0000 100.0000 100.0000 100.0000 96.0000
68.0 100.0000 100.0000 100.0000 98.0000 100.0000 97.0000 100.0000 99.0000 99.0000 97.0000
69.0 100.0000 100.0000 100.0000 98.0000 100.0000 100.0000 100.0000 100.0000 100.0000 98.0000
70.0 100.0000 100.0000 100.0000 100.0000 100.0000 99.0000 100.0000 100.0000 100.0000 100.0000
71.0 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 99.0000
72.0 100.0000 100.0000 100.0000 100.0000 100.0000 98.0000 100.0000 100.0000 100.0000 99.0000
73.0 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 98.0000
74.0 100.0000 100.0000 100.0000 99.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000
75.0 100.0000 100.0000 100.0000 100.0000 100.0000 99.0000 100.0000 100.0000 100.0000 100.0000
76.0 100.0000 100.0000 100.0000 100.0000 100.0000 99.0000 100.0000 100.0000 100.0000 100.0000
77.0 100.0000 100.0000 100.0000 100.0000 100.0000 98.0000 100.0000 100.0000 100.0000 100.0000
78.0 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000
79.0 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000
80.0 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000 100.0000
81.0 100.0000 100.0000 100.0000 100.0000 100.0000 99.0000 100.0000 100.0000 100.0000 99.0000
